string,count
caaaaaaaeaaaaaa,1
caaaaaaaeaaaaca,1
caaacaaaeaaaaaa,1
caaadabaeaaaaca,1
daaaaaaaaaeaaaa,29
daaaaaaaaaeaaab,1
daaaaaaaaaeabaa,10
daaaaaaaaaeabab,2
daaaaaaaaaeadaa,1
daaaaaaaabeaaaa,1
daaaaaaaabeabaa,2
daaaaaaabaeaaba,1
daaaaaaabaeaabb,1
daaaaaaabaeabbb,1
daaaaaaadaeabad,1
daaaaaaaeaaaaaa,18
daaaaaaaeaaaaab,3
daaaaaaaeaaaaad,1
daaaaaaaeaaaaca,27
daaaaaaaeaaaacb,2
daaaaaaaeaaaacd,1
daaaaaaaeaaabaa,17
daaaaaaaeaaabab,4
daaaaaaaeaaabad,1
daaaaaaaeaaabca,13
daaaaaaaeaaabcb,5
daaaaaaaeaaabcd,4
daaaaaaaeaaadab,1
daaaaaaaeaabbcb,1
daaaaaaaeaacaaa,1
daaaaaaaeaacaca,2
daaaaaaaeaadaca,5
daaaaaaaeaadbca,4
daaaaaaaeaadbcb,2
daaaaaaaeacabca,1
daaaaaaaeadaaaa,1
daaaaaaaeadaaca,2
daaaaaaaeadaacd,1
daaaaaaaeadabca,2
daaaaaaaeaeaaaa,1
daaaaaaaebaaaaa,1
daaaaaaaebaaaca,1
daaaaaaaebaabaa,1
daaaaaaaebaabca,1
daaaaaaaebaabcb,1
daaaaaabaaeaaaa,10
daaaaaabaaeabaa,9
daaaaaabaaeabab,1
daaaaaabaaeacab,1
daaaaaabbaeabab,1
daaaaaabbaeabba,1
daaaaaabbaeacab,1
daaaaaabeaaaaaa,6
daaaaaabeaaaaad,1
daaaaaabeaaaaca,17
daaaaaabeaaaacd,4
daaaaaabeaaabaa,7
daaaaaabeaaabab,2
daaaaaabeaaabad,1
daaaaaabeaaabca,9
daaaaaabeaaabcb,4
daaaaaabeaaabcd,5
daaaaaabeaaadaa,1
daaaaaabeaadaca,3
daaaaaabeaadbcb,1
daaaaaabeababca,1
daaaaaabeadaaaa,1
daaaaaabeadabca,1
daaaaaabebaaaab,1
daaaaaabebaabaa,1
daaaaaabebaabca,2
daaaaaaceaaaacd,1
daaaaaaceaaabba,2
daaaaaaceaadbcd,1
daaaaaaceacaaca,1
daaaaaadaaeaaaa,3
daaaaaadaaeaaba,1
daaaaaadbaeabca,1
daaaaaadcaeaaca,1
daaaaaaddaaaaca,1
daaaaaaddaeaacb,1
daaaaaadeaaaaaa,1
daaaaaadeaaaaab,1
daaaaaadeaaaaca,1
daaaaaadeaabacd,1
daaaaaadeaadaca,1
daaaaabaaaeaaaa,1
daaaaabaeaaaaaa,1
daaaaabaeaaaaca,2
daaaaabaeaaabaa,2
daaaaabaeaaabca,2
daaaaabaeaaaccb,1
daaaaabaeababca,1
daaaaabaeababcb,1
daaaaabaebaaaca,1
daaaaabbaaeaaaa,2
daaaaabbeaaaaaa,2
daaaaabbeaaaaca,1
daaaaabdcaeabca,1
daaaabaaaaeaaaa,5
daaaabaaaaeabaa,6
daaaabaaaaeadab,1
daaaabaabaeaaaa,3
daaaabaabaeaaab,1
daaaabaabaeabaa,1
daaaabaabaeabab,1
daaaabaabaeabbb,1
daaaabaacaeaaca,1
daaaabaacbeaabb,1
daaaabaadaeadad,1
daaaabaaeaaaaaa,13
daaaabaaeaaaaab,1
daaaabaaeaaaaba,1
daaaabaaeaaaaca,17
daaaabaaeaaaacb,2
daaaabaaeaaaacd,8
daaaabaaeaaabaa,4
daaaabaaeaaabab,1
daaaabaaeaaabad,1
daaaabaaeaaabbb,1
daaaabaaeaaabca,3
daaaabaaeaaabcb,4
daaaabaaeaaabcd,5
daaaabaaeaaacbc,1
daaaabaaeaaadcd,1
daaaabaaeaacaca,3
daaaabaaeaadaca,6
daaaabaaeaadbca,9
daaaabaaeaadbcb,1
daaaabaaeabaaca,1
daaaabaaeabdaca,2
daaaabaaeacaaab,1
daaaabaaeadaaaa,3
daaaabaaeadaacd,2
daaaabaaeaeaaaa,2
daaaabaaeaeabcd,1
daaaabaaebaaaca,1
daaaabaaebaabaa,2
daaaababaaeaaaa,10
daaaababaaeabaa,1
daaaababaaeabab,1
daaaababbaeaaaa,1
daaaababbaeaaba,1
daaaababbaeabaa,4
daaaababbaeabab,1
daaaababbaeabbb,1
daaaababeaaaaaa,8
daaaababeaaaaab,1
daaaababeaaaaba,4
daaaababeaaaabb,1
daaaababeaaaaca,5
daaaababeaaaacc,1
daaaababeaaaacd,9
daaaababeaaabaa,3
daaaababeaaabab,1
daaaababeaaabba,2
daaaababeaaabbc,1
daaaababeaaabca,2
daaaababeaaabcb,2
daaaababeaaabcd,7
daaaababeaaacab,1
daaaababeaaadcd,1
daaaababeaacaca,2
daaaababeaadaca,5
daaaababeaadbca,7
daaaababeabaacd,1
daaaababeadaaaa,1
daaaababeadaaba,1
daaaababeadabaa,1
daaaababebaabcd,1
daaaababebdabcd,1
daaaabaceaaaaaa,1
daaaabaceaaaaba,1
daaaabaceaaabba,1
daaaabaceaaabca,1
daaaabaceaaabcd,3
daaaabaceaadbcb,1
daaaabadaaeaaaa,1
daaaabadaaeabab,1
daaaabadcaeaaca,1
daaaabaddaaaaca,1
daaaabaddaeabcb,1
daaaabadeaaaacd,1
daaaabadeaaabaa,1
daaaabadeaaabca,3
daaaabadeaaabcd,1
daaaabadeaadaca,1
daaaabadeaadbca,1
daaaabadeaadbcb,1
daaaabadeadabcd,1
daaaabadebaaaaa,1
daaaabbaaaeaaaa,1
daaaabbaaaeabaa,1
daaaabbaeaaaaac,1
daaaabbaeaaaaca,2
daaaabbaeaaabcd,1
daaaabbaeabaaca,1
daaaabbaeaeaaaa,1
daaaabbbaaeaaaa,1
daaaabbbeaaaaca,2
daaaabbbeaaabaa,1
daaaabbbeaadaca,1
daaaabbbeadabcd,1
daaaacaaeaaaaaa,1
daaaacaaeaaaccb,1
daaaacabdaeaaad,1
daaaacabeaaaaca,1
daaaacaceaaaaca,1
daaaadaaeaaaaca,1
daaaadaaeaaaacb,1
daaaadaaeaaabaa,1
daaaadaaeaacaad,4
daaaadaaeaacabd,1
daaaadaaeaacacd,1
daaaadaaeaacbad,2
daaaadaaeaadaad,4
daaaadaaeaadbad,10
daaaadaaebadaad,1
daaaadaaebadbad,1
daaaadabcaeaaaa,1
daaaadabeaaaaaa,1
daaaadabeaacaad,1
daaaadabeaadaad,1
daaaadabeaadbad,12
daaaadabeadcbad,1
daaaadaceaadaad,1
daaaadaceaadbbd,1
daaaadadeaaaaca,1
daaaadadeaadbcd,1
daaaadadeaadcad,1
daaaadbaeaadbad,1
daaabaaaaaeaaaa,2
daaabaaaaaeabaa,1
daaabaaabaeaaaa,1
daaabaaaeaaaaaa,2
daaabaaaeaaaaca,3
daaabaaaeaaabca,1
daaabaaaeaaabcb,1
daaabaaaeaaabcd,2
daaabaaaeaadaca,1
daaabaaaeaadbca,2
daaabaaaeabaaaa,1
daaabaaaeabdbca,1
daaabaaaeadabcd,1
daaabaabaaeaaaa,2
daaabaabaaeaaab,1
daaabaabaaeabaa,1
daaabaabaaeabab,2
daaabaabbaeaaba,1
daaabaabeaaabbb,1
daaabaabeaaabca,1
daaabaabeaadaca,1
daaabaabeacaaaa,1
daaabaabebaadad,1
daaababbeababab,1
daaabbaaaaeaaaa,1
daaabbaaaaeabaa,2
daaabbaaeaaaaaa,2
daaabbaaeaaaaab,1
daaabbaaeaaaacd,3
daaabbaaeaaabca,1
daaabbaaeaaabcd,1
daaabbaaeaabbaa,1
daaabbaaeaadaca,3
daaabbaaeaadbca,2
daaabbaaeaadbcb,2
daaabbaaeababcd,1
daaabbaaeacabcd,1
daaabbabaaeaaaa,2
daaabbabaaeabaa,1
daaabbabbaeaaab,1
daaabbabeaaabaa,2
daaabbabeaaabba,1
daaabbabeaaabcd,3
daaabbabeaadaca,1
daaabbabeaadbcb,1
daaabbabeababab,1
daaabbabeababca,1
daaabbabeacaacd,1
daaabbaceaaaaba,1
daaabbaceaaabca,1
daaabbadeaaabaa,1
daaabbbbeaaaaca,1
daaabbbbeaaabaa,1
daaabbbbeaadaca,1
daaabdaaeaacaad,1
daaabdaaeaadbad,3
daaabdaaeaadbcd,1
daaabdabeaadbad,2
daaabdabeaadbcb,1
daaacaaaaaeaaaa,11
daaacaaaaaeaaba,1
daaacaaaaaeabaa,7
daaacaaaaaeabab,1
daaacaaaabeaaaa,1
daaacaaaabeaaab,1
daaacaaaabeabaa,1
daaacaaaeaaaaaa,19
daaacaaaeaaabaa,21
daaacaaaeaaabab,4
daaacaaaeaaabad,1
daaacaaaeaaacab,1
daaacaaaeaaadad,1
daaacaaaeaabaaa,1
daaacaaaeaabaca,1
daaacaaaeaacacb,1
daaacaaaeaadaca,8
daaacaaaeaadbca,4
daaacaaaeaadbcb,1
daaacaaaeaaddca,1
daaacaaaeabaaaa,1
daaacaaaeaccbcb,1
daaacaaaebaaaaa,4
daaacaaaebaabaa,1
daaacaaaebadbcb,1
daaacaabaaeaaaa,2
daaacaabbaeaaab,1
daaacaabbaeabab,1
daaacaabdaeadad,1
daaacaabeaaaaaa,11
daaacaabeaaaaab,1
daaacaabeaaaaba,1
daaacaabeaaabaa,7
daaacaabeaaabab,1
daaacaabeaaabba,1
daaacaabeaaabbb,1
daaacaabeaaabbd,1
daaacaabeaaadad,1
daaacaabeaadaca,2
daaacaabeaadbca,2
daaacaabeaadbcb,1
daaacaabeaccaca,1
daaacaabeadaaaa,1
daaacaabeadabaa,1
daaacaabebaabaa,1
daaacaabebdaaaa,1
daaacaacaaeaaaa,2
daaacaaceaaabaa,2
daaacaaceaaabba,1
daaacaaceaacaca,1
daaacaadaaeabaa,1
daaacaadeaaaaaa,1
daaacaadeaaabaa,1
daaacaadeaadacd,1
daaacabaaaeaaaa,1
daaacabaaaeabaa,1
daaacabaeaaaaaa,2
daaacabaeaaabaa,1
daaacabaeaaacaa,1
daaacabaeaadbca,1
daaacabbaaeabaa,1
daaacabbeaadbcb,1
daaacbaaaaeaaaa,1
daaacbaaabeabab,1
daaacbaaeaaaaaa,9
daaacbaaeaaaaab,1
daaacbaaeaaabaa,4
daaacbaaeaaabab,1
daaacbaaeaaabcb,1
daaacbaaeaacaca,4
daaacbaaeaacbaa,1
daaacbaaeaadbca,4
daaacbaaeaadbcb,2
daaacbaaeaadcca,1
daaacbaaeababab,1
daaacbaaeabdacb,1
daaacbaaeadaaaa,1
daaacbaaeadaaca,1
daaacbaaebabbab,1
daaacbaaebadaca,1
daaacbaaebddaca,1
daaacbabaaeaaaa,1
daaacbabaaeabaa,1
daaacbabeaaaaaa,4
daaacbabeaaaaba,2
daaacbabeaaabaa,8
daaacbabeaaabab,2
daaacbabeaaabba,1
daaacbabeaaabbb,1
daaacbabeaaacab,1
daaacbabeaaadaa,1
daaacbabeaacaca,1
daaacbabeaadaca,1
daaacbabeaadbca,3
daaacbabeaadbcb,1
daaacbabeaadccb,1
daaacbabeababab,1
daaacbabebaabaa,1
daaacbabebaabab,1
daaacbabebbabab,1
daaacbacbaeabba,1
daaacbaceaaaaaa,2
daaacbaceaadaca,1
daaacbaceabdbca,1
daaacbacebaabbb,1
daaacbadeaaaaaa,2
daaacbadeaaabba,1
daaacbadeaadaca,1
daaacbadeaadbca,1
daaacbadebaaaab,1
daaacbbabaecaaa,1
daaacbbaeacabaa,1
daaacdaacaeabaa,1
daaacdaaeaadbca,1
daaacdaaeadaaaa,1
daaacdaaebaabab,1
daaadaaaaaeaaaa,3
daaadaaaaaeabaa,1
daaadaaaeaaaaca,9
daaadaaaeaaaacd,3
daaadaaaeaaabac,1
daaadaaaeaaabca,1
daaadaaaeaaabcb,2
daaadaaaeaaabcd,2
daaadaaaeaabaca,1
daaadaaaeaacaca,1
daaadaaaeaacacd,1
daaadaaaeaadaca,3
daaadaaaeaadbca,1
daaadaaaeaadbcb,1
daaadaaaeabaaca,1
daaadaaaeababca,1
daaadaaaeadaacd,1
daaadaaaeaeaaaa,1
daaadaaaebaabaa,1
daaadaaaedeaaca,1
daaadaababeaaaa,1
daaadaabeaaaaca,4
daaadaabeaaaacd,3
daaadaabeaaabaa,1
daaadaabeaaabba,1
daaadaabeaaabcb,3
daaadaabeaaabcd,1
daaadaabeaacaca,1
daaadaabeaadacb,1
daaadaabeaadccb,1
daaadaabeacabcd,1
daaadaabebaabca,1
daaadaabebaabcb,1
daaadaacabeaaaa,1
daaadaaceaaaaca,1
daaadaaceaaaacd,1
daaadaaceaadacb,1
daaadaaddaaaaca,1
daaadaadeaaabca,1
daaadaadeaaabcd,1
daaadabaaaeaaaa,1
daaadabaeaaaaad,1
daaadbaaaaeaaaa,1
daaadbaaaaeaaba,1
daaadbaaeaaaaaa,1
daaadbaaeaaaaab,1
daaadbaaeaaaacd,10
daaadbaaeaaabab,2
daaadbaaeaaabca,5
daaadbaaeaaabcb,3
daaadbaaeaaabcd,5
daaadbaaeaabbcd,1
daaadbaaeaadaca,2
daaadbaaeaadacb,1
daaadbaaeaadbca,3
daaadbaaeaadbcb,3
daaadbaaeabaacd,1
daaadbaaeacaaca,1
daaadbaaeadabcb,1
daaadbaaeaeaaaa,1
daaadbaaeaeabcd,1
daaadbabaaeaaaa,1
daaadbabeaaaaca,1
daaadbabeaaaacd,10
daaadbabeaaabab,1
daaadbabeaaabbd,1
daaadbabeaaabca,3
daaadbabeaaabcd,8
daaadbabeaacacd,1
daaadbabeaadaca,1
daaadbabeaadbca,3
daaadbabeaadbcb,1
daaadbabeaaddca,1
daaadbabeababcd,1
daaadbabeaddbcb,1
daaadbabebaabcd,2
daaadbaceaaabcd,1
daaadbaceaadbca,1
daaadbaceadaacd,1
daaadbaddaaaaca,1
daaadbadeaaaaca,2
daaadbadeaaaacd,1
daaadbadeaaabcd,1
daaadbadeaadbca,1
daaadbadebadbca,1
daaadbbaeaaabca,1
daaadbbbeaaabcd,1
daaadbbceaaaaca,1
daaaddaaeaaaaca,1
daaaddaaeaaabcb,1
daaaddaaeaabaad,1
daaaddaaeaacaad,3
daaaddaaeaacbad,2
daaaddaaeaacbbd,1
daaaddaaeaacdad,1
daaaddaaeaadaad,6
daaaddaaeaadaca,1
daaaddaaeaadbad,13
daaaddaaeaadbbd,1
daaaddaaeaadbcd,1
daaaddaaeabdaad,1
daaaddaaeabdbad,1
daaaddaaeadcaad,1
daaaddaaebadaad,2
daaaddaaebbdaad,1
daaaddabeaaaacd,1
daaaddabeaacaad,2
daaaddabeaadaad,5
daaaddabeaadbad,5
daaaddabeaddbad,1
daaaddabebadbad,1
daaaddaceaadaad,1
daaaddadeaaaacd,1
daaaddadeaacaad,2
daaaddadeaadaad,1
daaaddbaeaadaad,1
daaaddbbeaadaad,1
daaaeaaaaaeaaaa,17
daaaeaaaaaeabaa,8
daaaeaaaaaeabab,1
daaaeaaaaaeacaa,1
daaaeaaaabeaaaa,1
daaaeaaaabeabaa,1
daaaeaaabaeaaaa,1
daaaeaaabaeabac,1
daaaeaaadaeabac,1
daaaeaaaeaaaaca,21
daaaeaaaeaaaacb,1
daaaeaaaeaaabca,9
daaaeaaaeaaabcb,1
daaaeaaaeaaacca,1
daaaeaaaeaaaccb,1
daaaeaaaeaaadcd,1
daaaeaaaeaacaca,1
daaaeaaaeababca,2
daaaeaaaebaaaca,2
daaaeaaaebaabca,2
daaaeaaaebaabcb,1
daaaeaabaaeaaaa,7
daaaeaabaaeabaa,4
daaaeaabaaeabab,1
daaaeaabaaeabba,1
daaaeaabaaecbaa,1
daaaeaabbaeabba,1
daaaeaabbbeabba,1
daaaeaabcaeabaa,1
daaaeaabeaaaaad,1
daaaeaabeaaaaca,9
daaaeaabeaaabca,5
daaaeaabeabaaca,1
daaaeaabebaaaca,3
daaaeaacaaeabaa,1
daaaeaacbaeabaa,1
daaaeaaceaaaaca,1
daaaeaaceaaaacb,1
daaaeaaceaaabca,1
daaaeaadaaeaaaa,1
daaaeaadcaeaacb,1
daaaeabaaaeaaaa,1
daaaeabacaeaaaa,1
daaaeabaeaaabca,1
daaaeabdaaeaaaa,1
daaaeabdeaaabcb,1
daaaeacceaaabca,1
daaaebaaaaeaaaa,5
daaaebaaaaeaaab,1
daaaebaaaaeabaa,5
daaaebaaaaecaaa,1
daaaebaaabeaaaa,1
daaaebaabaeaaab,2
daaaebaabaeabaa,1
daaaebaabaeabab,4
daaaebaabaeabbb,1
daaaebaaeaaaaca,9
daaaebaaeaaabca,14
daaaebaaeaaabcb,3
daaaebaaeaaadca,1
daaaebaaeaaadcd,1
daaaebaaeababca,1
daaaebaaebaaaca,3
daaaebabaaeaaaa,8
daaaebabaaeaaba,1
daaaebabaaeabaa,2
daaaebabbaeaaba,1
daaaebabbaeabab,1
daaaebabbaeacab,1
daaaebabcaeabbc,1
daaaebabdaeabca,1
daaaebabeaaaaca,7
daaaebabeaaaacb,2
daaaebabeaaabca,7
daaaebabeaacaca,1
daaaebabeacabca,1
daaaebabebaabca,1
daaaebacaaeaaaa,2
daaaebaceaaaaca,1
daaaebaceababca,1
daaaebadbaeaaaa,1
daaaebadcaeaaca,1
daaaebadeaaaaca,1
daaaebbaaaeaaaa,2
daaaebbacaeaaaa,1
daaaebbaeaaaaca,1
daaaebbaeaaabca,1
daaaebbaeaaadcd,1
daaaebbbaaeaaaa,1
daaaebbbbaeabba,1
daaaebbdaaeaaaa,1
daaaecabbaeabab,1
daaaedaacaeabaa,1
daaaedaaeaadaad,5
daaaedaaeaadbad,1
daaaedabeaadaad,1
daaaedabeaddbad,1
daabaaaaaaeaaaa,6
daabaaaaaaeabaa,3
daabaaaaaaeabab,1
daabaaaaabeaaaa,1
daabaaaaabeabaa,1
