string,count
dccbedac,1
dccdcdae,1
dcdaedac,1
dcdaedbc,1
dcdbddac,1
dcdbedbc,1
ddaaaaac,43
ddaaaabc,6
ddaaabac,31
ddaaabbc,2
ddaaacac,1
ddaaacbc,3
ddaaadac,2
ddaaadcc,14
ddaabaac,21
ddaababc,3
ddaabbac,17
ddaabbbc,5
ddaabbcc,1
ddaabcac,2
ddaabdcc,19
ddaacaac,11
ddaacabc,1
ddaacbac,7
ddaacbcc,1
ddaacdcc,7
ddaaddcc,1
ddaaeacc,24
ddaaebcc,39
ddaaeccc,3
ddaaedac,9
ddaaedbc,6
ddaaedcc,1
ddababac,2
ddabadcc,2
ddabbaac,1
ddabbdcc,1
ddabebcc,1
ddabedac,1
ddaceace,38
ddacebce,46
ddacecce,4
ddadaaae,45
ddadaabe,5
ddadabae,35
ddadabbe,7
ddadacae,3
ddadadae,1
ddadadce,16
ddadbaae,20
ddadbabe,1
ddadbbae,28
ddadbdae,1
ddadbdce,12
ddadcaae,11
ddadcbae,5
ddadcdce,7
ddaddbae,2
ddadddce,1
ddadeace,3
ddadebce,4
ddadedae,7
ddadedbe,4
ddbaaaac,63
ddbaaabc,3
ddbaabac,24
ddbaabbc,2
ddbaabcc,1
ddbaacac,2
ddbaadac,2
ddbaadcc,14
ddbabaac,20
ddbababc,1
ddbabbac,15
ddbabbbc,2
ddbabbcc,1
ddbabdbc,1
ddbabdcc,25
ddbacaac,10
ddbacabc,1
ddbacbac,13
ddbacdac,1
ddbacdcc,8
ddbadbac,1
ddbaddcc,2
ddbaeacc,39
ddbaebcc,41
ddbaedac,16
ddbaedbc,7
ddbbaaac,2
ddbbabac,2
ddbbadac,1
ddbbadcc,1
ddbbadce,2
ddbbbaac,4
ddbbbbac,1
ddbbcbac,3
ddbbcbbc,1
ddbbcdcc,1
ddbbdaac,2
ddbbeacc,2
ddbbebcc,2
ddbbedac,2
ddbbedbc,2
ddbceace,24
ddbcebce,34
ddbcecce,2
ddbdaaae,66
ddbdaabe,1
ddbdaace,1
ddbdabae,37
ddbdabbe,2
ddbdabce,1
ddbdacae,1
ddbdacbe,1
ddbdadce,21
ddbdbaae,33
ddbdbabe,3
ddbdbbae,15
ddbdbbbe,4
ddbdbbce,1
ddbdbdce,15
ddbdcaae,8
ddbdcbae,11
ddbdcbbe,1
ddbdccae,1
ddbdcdae,2
ddbdcdce,8
ddbddaae,1
ddbddbae,1
ddbdddae,1
ddbdddce,1
ddbdeace,2
ddbdebce,1
ddbdedae,17
ddbdedbe,11
ddbdedce,1
ddcaabac,1
ddcaadcc,2
ddcabaac,1
ddcabbac,2
ddcabcac,1
ddcaedac,1
ddcaedbc,2
ddcbaaac,2
ddcbabac,2
ddcbbdcc,1
ddcbcaac,1
ddcbccac,1
ddcbebcc,1
ddcbedac,3
ddcccdce,1
ddcceace,2
ddccebce,2
ddccecce,1
ddcdaaae,1
ddcdaabe,1
ddcdabae,1
ddcdadce,1
ddcdbbae,1
ddcdcaae,1
ddcdccae,1
ddcdedbe,1
dddaedac,1
ddddabae,1
ddddbdae,1
ddddcdce,1
ddddedae,1
eaaaaacc,22
eaaaaacd,8
eaaaabca,1
eaaaabcc,97
eaaaabcd,26
eaaaabce,3
eaaaaccc,18
eaaaaccd,6
eaaaacce,1
eaaaadac,62
eaaaadad,138
eaaaadae,1
eaaaadbc,27
eaaaadbd,16
eaaaadbe,2
eaaaadcc,30
eaaaadcd,3
eaaabacc,3
eaaabacd,3
eaaabbcc,21
eaaabbcd,9
eaaabccc,4
eaaabccd,8
eaaabdac,40
eaaabdad,35
eaaabdae,3
eaaabdbc,11
eaaabdbd,6
eaaabdbe,1
eaaabdcc,5
eaaabdcd,4
eaaabdce,4
eaaacacc,9
eaaacacd,1
eaaacbcc,16
eaaacbcd,24
eaaacbce,2
eaaacccc,2
eaaacccd,4
eaaaccce,1
eaaacdac,64
eaaacdad,16
eaaacdbc,9
eaaacdbd,6
eaaacdbe,3
eaaacdcc,5
eaaacdcd,6
eaaacdce,1
eaaadacc,2
eaaadacd,1
eaaadbcc,9
eaaadbcd,2
eaaadbce,4
eaaadccc,1
eaaadccd,1
eaaaddac,16
eaaaddad,2
eaaaddae,3
eaaaddbd,1
eaaaddcc,1
eaaaddce,5
eaaaeaac,29
eaaaeaad,33
eaaaeaae,5
eaaaeabe,1
eaaaeacc,31
eaaaeacd,69
eaaaeace,65
eaaaebac,46
eaaaebad,44
eaaaebae,22
eaaaebbc,2
eaaaebbd,4
eaaaebbe,10
eaaaebcc,83
eaaaebcd,53
eaaaebce,84
eaaaecad,3
eaaaecae,5
eaaaecbc,2
eaaaecbd,2
eaaaecbe,3
eaaaeccc,8
eaaaeccd,24
eaaaecce,18
eaaaedac,44
eaaaedad,78
eaaaedae,21
eaaaedbc,2
eaaaedbd,26
eaaaedbe,12
eaaaedcc,61
eaaaedcd,63
eaaaedce,168
eaabaace,2
eaababcd,2
eaababce,4
eaabaccc,1
eaabaccd,1
eaabadac,4
eaabadad,1
eaabadae,56
eaabadbc,1
eaabadbe,2
eaabadce,23
eaabbacc,1
eaabbace,1
eaabbbcc,3
eaabbbce,3
eaabbcce,2
eaabbdac,5
eaabbdae,8
eaabbdbe,1
eaabbdce,5
eaabcace,2
eaabcbcc,2
eaabcbcd,2
eaabcbce,2
eaabcccc,1
eaabccce,6
eaabcdac,6
eaabcdad,4
eaabcdae,4
eaabcdbd,2
eaabcdcd,1
eaabcdce,3
eaabdbce,2
eaabdcce,1
eaabddac,1
eaabddad,2
eaabddae,8
eaabddbe,1
eaabddcd,2
eaabddce,1
eaabeaac,2
eaabeaad,9
eaabeaae,21
eaabeabe,3
eaabeacc,1
eaabeacd,4
eaabeace,13
eaabebac,5
eaabebad,11
eaabebae,19
eaabebbe,2
eaabebcc,1
eaabebcd,1
eaabebce,16
eaabecad,1
eaabecae,2
eaabecbe,2
eaabecce,4
eaabedac,5
eaabedad,3
eaabedae,15
eaabedbe,2
eaabedcc,5
eaabedcd,1
eaabedce,168
eaacaace,4
eaacabce,28
eaacacce,6
eaacadae,98
eaacadbe,16
eaacadce,14
eaacbace,2
eaacbbce,8
eaacbcce,5
eaacbdae,19
eaacbdbe,13
eaacbdce,10
eaaccace,3
eaaccbce,7
eaacccce,6
eaaccdae,20
eaaccdbe,14
eaaccdce,9
eaacdcce,2
eaacddae,8
eaacddbe,5
eaacddce,4
eaaceaae,13
eaaceabe,3
eaaceace,40
eaacebae,36
eaacebbe,13
eaacebce,133
eaacecae,7
eaacecbe,1
eaacecce,22
eaacedae,12
eaacedbe,2
eaacedce,91
eaadaace,25
eaadabce,89
eaadacce,16
eaadadae,77
eaadadbe,30
eaadadce,3
eaadbace,3
eaadbbce,16
eaadbcce,6
eaadbdae,42
eaadbdbe,1
eaadbdce,1
eaadcace,6
eaadcbce,30
eaadccce,7
eaadcdae,54
eaadcdbe,2
eaadcdce,7
eaaddace,8
eaaddbce,9
eaaddcce,1
eaadddae,21
eaadddbe,3
eaadeaae,76
eaadeabe,3
eaadeace,99
eaadebae,51
eaadebbe,7
eaadebce,142
eaadecae,8
eaadecbe,1
eaadecce,18
eaadedae,139
eaadedbe,35
eaadedce,30
eabaaacc,15
eabaaacd,4
eabaabcc,66
eabaabcd,38
eabaabce,1
eabaaccc,20
eabaaccd,13
eabaacce,1
eabaadac,90
eabaadad,138
eabaadae,1
eabaadbc,19
eabaadbd,24
eabaadbe,3
eabaadcc,19
eabaadcd,23
eabaadce,4
eababacc,6
eababacd,5
eababace,1
eababbcc,25
eababbcd,19
eababccc,7
eababccd,7
eababcce,1
eababdac,77
eababdad,43
eababdae,2
eababdbc,16
eababdbd,8
eababdbe,2
eababdcc,11
eababdcd,13
eababdce,6
eabacacc,19
