string,count
aaaaaaaa,5037
aaaaaaab,7
aaaaaaba,352
aaaaaabb,2
aaaaaaca,29
aaaaabaa,5943
aaaaabab,12
aaaaabba,1099
aaaaabbb,5
aaaaabca,78
aaaaabcb,1
aaaaacaa,666
aaaaacab,3
aaaaacba,344
aaaaacbb,7
aaaaacca,41
aaaaaccb,1
aaaaadaa,58
aaaaadab,1
aaaaadba,33
aaaaadbb,1
aaaaadca,9
aaaabaaa,1886
aaaabaab,13
aaaababa,103
aaaababb,4
aaaabaca,8
aaaabbaa,2154
aaaabbab,35
aaaabbba,395
aaaabbbb,14
aaaabbca,32
aaaabbcb,3
aaaabcaa,193
aaaabcab,9
aaaabcba,131
aaaabcbb,11
aaaabcca,19
aaaabccb,2
aaaabdaa,18
aaaabdab,1
aaaabdba,8
aaaabdbb,2
aaaacaaa,1162
aaaacaab,84
aaaacaba,60
aaaacabb,8
aaaacaca,6
aaaacacb,2
aaaacbaa,1193
aaaacbab,164
aaaacbba,204
aaaacbbb,49
aaaacbca,17
aaaacbcb,3
aaaaccaa,126
aaaaccab,28
aaaaccba,61
aaaaccbb,36
aaaaccca,7
aaaacccb,5
aaaacdaa,7
aaaacdab,4
aaaacdba,5
aaaacdbb,1
aaaacdcb,2
aaaadaaa,127
aaaadaab,94
aaaadaba,9
aaaadabb,11
aaaadacb,2
aaaadbaa,105
aaaadbab,138
aaaadbba,14
aaaadbbb,30
aaaadbcb,1
aaaadcaa,9
aaaadcab,19
aaaadcba,4
aaaadcbb,7
aaaaeaaa,2
aaaaeaab,18
aaaaeabb,1
aaaaebaa,2
aaaaebab,12
aaaaebbb,1
aaaaecab,1
aaabaaaa,138
aaabaaab,23
aaabaaac,1437
aaabaaba,14
aaabaabb,5
aaabaabc,62
aaabaacb,1
aaabaacc,3
aaababaa,139
aaababab,31
aaababac,1183
aaababba,31
aaababbb,10
aaababbc,136
aaababca,2
aaababcc,8
aaabacaa,25
aaabacab,9
aaabacac,82
aaabacba,5
aaabacbb,6
aaabacbc,30
aaabacca,1
aaabaccb,2
aaabaccc,6
aaabadaa,3
aaabadab,1
aaabadac,10
aaabadba,1
aaabadbc,7
aaabadca,1
aaabadcc,1
aaabbaaa,63
aaabbaab,3
aaabbaac,251
aaabbaba,3
aaabbabc,16
aaabbaca,1
aaabbbaa,83
aaabbbab,7
aaabbbac,271
aaabbbba,17
aaabbbbb,3
aaabbbbc,64
aaabbbca,1
aaabbbcc,6
aaabbcaa,8
aaabbcab,3
aaabbcac,37
aaabbcba,7
aaabbcbb,4
aaabbcbc,21
aaabbcca,2
aaabbccc,1
aaabbdab,1
aaabbdac,3
aaabbdbc,3
aaabbdca,1
aaabbdcc,1
aaabcaaa,88
aaabcaab,12
aaabcaac,117
aaabcaba,4
aaabcabc,12
aaabcbaa,72
aaabcbab,35
aaabcbac,121
aaabcbba,15
aaabcbbb,8
aaabcbbc,21
aaabccaa,12
aaabccab,3
aaabccac,14
aaabccba,4
aaabccbb,3
aaabccbc,9
aaabcccc,1
aaabcdaa,3
aaabcdab,1
aaabcdac,2
aaabcdbb,1
aaabcdbc,2
aaabdaaa,19
aaabdaab,37
aaabdaac,56
aaabdabb,5
aaabdabc,2
aaabdbaa,14
aaabdbab,39
aaabdbac,33
aaabdbba,2
aaabdbbb,5
aaabdbbc,7
aaabdbcb,1
aaabdbcc,1
aaabdcaa,1
aaabdcab,4
aaabdcac,3
aaabdcbb,3
aaabdcbc,4
aaabddab,1
aaabeaab,4
aaabeaac,9
aaabeabb,1
aaabebab,13
aaabebac,8
aaabecab,1
aaabecac,1
aaacaaac,1369
aaacaaad,6
aaacaabc,159
aaacaacc,11
aaacabac,2028
aaacabad,11
aaacabbc,438
aaacabbd,6
aaacabcc,31
aaacabcd,1
aaacacac,219
aaacacad,5
aaacacbc,142
aaacacbd,6
aaacaccc,12
aaacaccd,2
aaacadac,30
aaacadad,1
aaacadbc,16
aaacadcc,4
aaacbaac,328
aaacbaad,10
aaacbabc,45
aaacbabd,4
aaacbacc,2
aaacbbac,616
aaacbbad,28
aaacbbbc,130
aaacbbbd,16
aaacbbcc,10
aaacbbcd,3
aaacbcac,74
aaacbcad,6
aaacbcbc,39
aaacbcbd,12
aaacbccc,5
aaacbccd,2
aaacbdac,6
aaacbdad,1
aaacbdbc,2
aaacbdbd,1
aaacbdcd,2
aaaccaac,217
aaaccaad,20
aaaccabc,24
aaaccabd,7
aaaccacd,1
aaaccbac,374
aaaccbad,95
aaaccbbc,72
aaaccbbd,28
aaaccbcc,3
aaaccbcd,3
aaacccac,56
aaacccad,23
aaacccbc,22
aaacccbd,21
aaaccccc,3
aaaccccd,4
aaaccdac,4
aaaccdad,2
aaaccdbc,1
aaaccdbd,1
aaaccdcd,2
aaacdaac,25
aaacdaad,30
aaacdabc,1
aaacdabd,4
aaacdbac,37
aaacdbad,38
aaacdbbc,3
aaacdbbd,18
aaacdbcc,1
aaacdbcd,2
aaacdcac,6
aaacdcad,4
aaacdcbc,3
aaacdcbd,6
aaacdccd,2
aaacddad,1
aaaceaac,1
aaaceaad,4
aaacebad,10
aaacecad,1
aaacecbd,1
aaacedad,1
aaadaaac,554
aaadaaad,1099
aaadaaae,6
aaadaabc,13
aaadaabd,81
aaadaacc,3
aaadaacd,6
aaadaace,1
aaadabac,321
aaadabad,1534
aaadabae,36
aaadabbc,11
aaadabbd,340
aaadabbe,17
aaadabcc,3
aaadabcd,29
aaadabce,1
aaadacac,10
aaadacad,157
aaadacae,6
aaadacbd,64
aaadacbe,7
aaadaccd,6
aaadacce,1
aaadadac,1
aaadadad,12
aaadadbd,5
aaadbaac,161
aaadbaad,824
aaadbaae,27
aaadbabc,2
aaadbabd,44
aaadbabe,2
aaadbacd,5
aaadbace,1
aaadbbac,75
aaadbbad,845
aaadbbae,42
aaadbbbc,4
aaadbbbd,127
aaadbbbe,15
aaadbbcd,9
aaadbbce,1
aaadbcac,1
aaadbcad,54
aaadbcae,6
aaadbcbd,20
aaadbcbe,8
aaadbccd,2
aaadbdad,8
aaadbdbd,3
aaadbdbe,1
aaadcaac,33
aaadcaad,687
aaadcaae,92
aaadcabd,32
aaadcabe,11
aaadcacc,1
aaadcacd,2
aaadcace,1
aaadcbac,12
aaadcbad,616
aaadcbae,112
aaadcbbd,64
aaadcbbe,35
aaadcbcd,4
aaadcbce,2
aaadccad,51
aaadccae,29
aaadccbd,9
aaadccbe,17
aaadccce,3
aaadcdad,3
aaadcdbd,2
aaadcdbe,1
aaaddaad,112
aaaddaae,43
aaaddabd,4
aaaddabe,4
aaaddbad,107
aaaddbae,64
aaaddbbd,9
aaaddbbe,11
aaaddcad,4
aaaddcae,6
aaaddcbd,1
aaaddcbe,5
aaadeaad,4
aaadeaae,7
aaadeabe,1
aaadebad,5
aaadebae,6
aaadecad,1
aabaaaaa,4105
aabaaaab,11
aabaaaba,258
aabaaabb,2
aabaaaca,27
aabaabaa,4968
aabaabab,19
aabaabba,911
aabaabbb,17
aabaabca,73
aabaabcb,1
