string,count
daaaaacc,20
daaaabcc,63
daaaaccc,16
daaaadac,36
daaaadbc,6
daaaadcc,7
daaabacc,8
daaabbcc,8
daaabccc,4
daaabdac,16
daaabdbc,4
daaabdcc,1
daaacacc,7
daaacbcc,8
daaacccc,3
daaacdac,5
daaacdbc,2
daaacdcc,2
daaadacc,2
daaadbcc,2
daaaddac,1
daaaddcc,1
daaaebbc,1
daaaedac,13
daaaedcc,1
daabaacc,1
daabaace,1
daababcc,3
daabaccc,1
daabadae,1
daabadcc,1
daabadcd,1
daabadce,1
daabbacc,1
daabbbcc,1
daabbdcd,2
daabcbcc,2
daabcdcd,1
daabddcc,1
daabedbc,1
daacaace,3
daacabce,9
daacacce,2
daacadae,1
daacbace,3
daacbbce,3
daacbcce,2
daacbdae,2
daacbdbe,1
daaccace,1
daaccbce,5
daacccce,2
daaccdae,2
daacddae,1
daacddbe,3
daaceaae,1
daaceace,1
daacebae,1
daacebbe,1
daacecae,1
daacedae,12
daacedce,2
daadaace,18
daadabce,54
daadacce,5
daadadae,41
daadadbe,11
daadadce,3
daadbace,1
daadbbce,16
daadbcce,2
daadbdae,7
daadbdbe,4
daadcace,4
daadcbce,6
daadccce,1
daadcdae,3
daadcdbe,1
daaddbce,3
dabaaacc,16
dabaabcc,55
dabaaccc,7
dabaadac,42
dabaadbc,3
dabaadcc,8
dababacc,15
dababbcc,20
dababccc,6
dababdac,17
dababdbc,2
dababdcc,2
dabacacc,10
dabacbcc,19
dabacccc,3
dabacdac,6
dabacdbc,5
dabacdcc,1
dabadacc,4
dabadbcc,8
dabadccc,1
dabaddac,8
dabaeacc,1
dabaebac,3
dabaebcc,1
dabaedac,10
dabaedcc,2
dabbaacc,1
dabbaace,1
dabbabcc,2
dabbadac,2
dabbadae,4
dabbadbe,1
dabbadcd,1
dabbadce,1
dabbbacc,1
dabbbbcc,3
dabbbbce,1
dabbbccc,2
dabbbdac,1
dabbbdae,1
dabbcacc,3
dabbcbcc,3
dabbcbce,1
dabbcdac,2
dabbcdae,1
dabbcdce,1
dabbdacc,1
dabbdacd,1
dabbdbcc,5
dabbddac,2
dabbddcc,1
dabbedac,3
dabcabce,9
dabcacce,6
dabcadae,3
dabcadbe,4
dabcadce,1
dabcbace,1
dabcbbce,6
dabcbcce,2
dabcbdae,6
dabccace,4
dabccbce,7
dabcccce,1
dabccdae,4
dabccdbe,3
dabccdce,3
dabcdbce,3
dabcdcce,1
dabcddae,12
dabcddbe,3
dabcddce,3
dabceace,1
dabcebae,2
dabcebbe,1
dabcebce,1
dabcecbe,1
dabcedae,17
dabcedbe,3
dabcedce,3
dabdaace,7
dabdabce,47
dabdacce,6
dabdadae,29
dabdadbe,6
dabdbace,8
dabdbbce,8
dabdbcce,1
dabdbdae,11
dabdbdbe,2
dabdbdce,1
dabdcace,9
dabdcbce,14
dabdcdae,3
dabdcdce,1
dabddace,5
dabddbce,3
dabdddce,1
dacaaacc,1
dacaabcc,2
dacaadcc,1
dacabacc,1
dacabbcc,1
dacadbcc,2
dacaddac,2
dacaddbc,1
dacaedac,4
dacbabcc,1
dacbadbc,1
dacbadcd,1
dacbbacc,1
dacbbbcc,1
dacbbdbc,2
dacbcacc,2
dacbcbcc,1
dacbcdac,2
dacbcdbc,1
dacbdbcc,1
dacbddac,2
dacbddbc,3
dacbedac,4
dacbedbc,1
dacbedcc,2
dacccbce,1
daccccce,1
dacccdae,5
dacccdbe,1
daccdace,1
daccdbce,2
daccddae,4
daccddce,3
daccedae,3
dacdaace,1
dacdabce,1
dacdadae,1
dacdbdae,1
dacdcace,1
dacdcbce,3
dadaaaac,6
dadaaacc,3
dadaabac,8
dadaabbc,12
dadaabcc,5
dadaacac,3
dadaacbc,5
dadaadac,37
dadaadbc,5
dadaadcc,22
dadabaac,1
dadabacc,1
dadabbac,3
dadabbbc,2
dadabbcc,8
dadabcbc,2
dadabccc,3
dadabdac,29
dadabdbc,3
dadabdcc,13
dadacbac,1
dadacbbc,1
dadacbcc,3
dadaccac,2
dadaccbc,3
dadacccc,1
dadacdac,25
dadacdbc,2
dadacdcc,4
dadadbcc,1
dadaddac,3
dadaddbc,1
dadaddcc,14
dadaeaac,3
dadaeabc,1
dadaeacc,1
dadaebac,10
dadaebbc,3
dadaebcc,2
dadaecac,5
dadaecbc,1
dadaedac,4
dadaedbc,1
dadaedcc,15
dadbaaac,1
dadbaabd,1
dadbabad,2
dadbabbc,1
dadbabcc,1
dadbabcd,1
dadbacad,1
dadbadac,3
dadbadae,5
dadbadbe,2
dadbadcc,2
dadbadcd,1
dadbbdac,3
dadbbdcc,2
dadbcbad,1
dadbcbbc,1
dadbcbcc,1
dadbcdac,3
dadbcdcc,3
dadbcdcd,1
dadbcdce,5
dadbdaac,2
dadbdbcc,1
dadbdcce,1
dadbddac,3
dadbddcc,26
dadbddcd,1
dadbddce,36
dadbeaac,2
dadbebac,1
dadbebbc,1
dadbebcc,1
dadbedcc,36
dadbedce,48
dadcaaae,4
dadcaace,2
dadcabae,5
dadcabbe,4
dadcabce,5
dadcacae,2
dadcacbe,2
dadcacce,2
dadcadae,2
dadcadbe,1
dadcadce,11
dadcbbae,4
dadcbbbe,1
dadcbbce,7
dadcbdae,1
dadcbdbe,1
