string,count
daaabbaceaadaaa,1
daaabbaceaeaaad,1
daaabbacebbdaba,1
daaabbbaeaadaba,1
daaabbbbaaebaaa,1
daaabbbbbaeaaba,1
daaabcaaeaaabad,1
daaabdaaeaaaaca,1
daaacaaaaaeabab,1
daaacaaadaadaaa,7
daaacaaadaadbaa,3
daaacaaaeaaaaca,1
daaacaaaeaaaacd,12
daaacaaaeaaabcd,4
daaacaaaeaaadcd,1
daaacaaaeaabbcd,1
daaacaaaeaadaaa,11
daaacaaaeaadaba,1
daaacaaaeaadbaa,11
daaacaaaeaadbab,3
daaacaaaeaaddaa,1
daaacaaaeabdaaa,2
daaacaaaebaaacd,1
daaacaaaebaabcd,3
daaacaabbaeaaab,1
daaacaabdaadbaa,1
daaacaabeaaaacd,3
daaacaabeaadaaa,4
daaacaabeaadaab,1
daaacaabeaadbaa,2
daaacaabeaadbab,2
daaacaabeaadbbb,1
daaacaabeabdbcb,1
daaacaabeaeaaca,1
daaacaabebaabcd,1
daaacaaddaadaaa,1
daaacaadeaaaaca,2
daaacaadeaaaacd,1
daaacaadeaadbab,1
daaacabaeaaaacd,1
daaacabaeaaadcd,1
daaacabaeaadbaa,2
daaacabaeaadbca,1
daaacabbaaebaaa,1
daaacabbeaaadcd,2
daaacabbeaadbaa,1
daaacabceaeaaca,1
daaacbaaeaaaacd,6
daaacbaaeaaabcd,5
daaacbaaeaadaaa,6
daaacbaaeaadbaa,3
daaacbaaeaadbab,1
daaacbaaeaadbcc,1
daaacbaaeaeaaad,1
daaacbaaebadbab,1
daaacbabeaaaacd,1
daaacbabeaaabcd,1
daaacbabeaadaaa,1
daaacbabeaadbaa,2
daaacbabeaadbba,1
daaacbabeaadcaa,1
daaacbabecadbab,1
daaacbaceaadbaa,1
daaacbbaaaeabaa,1
daaacbbaeaaabcd,1
daaacbbbeaaaacd,1
daaacdaaeaaaaaa,1
daaacdbaeacabcd,1
daaadaaadaadaad,1
daaadaaaeaaaaad,1
daaadaaaeaaaaca,8
daaadaaaeaaaacb,1
daaadaaaeaaaacd,1
daaadaaaeaaabca,3
daaadaaaeaaabcb,1
daaadaaaeaaabcd,1
daaadaaaeaadaad,3
daaadaaaeaadbad,1
daaadaaaeaadbbd,1
daaadaaaeadaaca,1
daaadaaaeaeaaca,1
daaadaaaebaaacb,1
daaadaabcaeaaaa,1
daaadaabeaaaaca,6
daaadaabeaaabba,1
daaadaabeaaabca,5
daaadaabeaaabcb,1
daaadaabeaaadca,1
daaadaabeaadbad,1
daaadaabeaadbbd,1
daaadaabeabaaca,1
daaadaabebaaaca,1
daaadaadeaaaaad,1
daaadaadeaaaaca,1
daaadaadeaaabca,2
daaadabaeaaaaca,2
daaadabaeaaaacb,1
daaadabbebadacd,1
daaadbaaaaeaaaa,1
daaadbaaeaaaaaa,1
daaadbaaeaaaacb,1
daaadbaaeaaabca,1
daaadbaaeaaabcb,3
daaadbaaeaadaad,1
daaadbaaeaadbad,4
daaadbaaebadaad,1
daaadbaaebadbad,2
daaadbaaebbabca,1
daaadbabeaaaaca,4
daaadbabeaaaacd,1
daaadbabeaaabaa,1
daaadbabeaaabca,5
daaadbabeaaabcb,1
daaadbabeaaabcd,1
daaadbabeaadaad,4
daaadbabeaadabd,1
daaadbabeaadbad,2
daaadbabeadaaca,1
daaadbabeaeaaca,1
daaadbaceaadaad,1
daaadbacebadbad,1
daaadbadeaaaaca,1
daaadbadeaadaad,1
daaadbbabaadbaa,1
daaadbbaeaaaaad,1
daaadbbaeaaaaca,1
daaadbbaeaaabaa,1
daaadbbaeaaabab,1
daaadbbaeaeabca,1
daaadbbbaaeaaaa,1
daaadcabeaaaaca,1
daaaeaaadaadaaa,3
daaaeaaadaadbaa,1
daaaeaaadaddbab,1
daaaeaaadaecaca,3
daaaeaaadaedaca,6
daaaeaaadaedacd,1
daaaeaaadaedbca,4
daaaeaaadbedacb,1
daaaeaaadbedbcb,1
daaaeaaaeaaaaca,25
daaaeaaaeaaabca,14
daaaeaaaeaaabcb,4
daaaeaaaeaaadcd,1
daaaeaaaeaacbca,1
daaaeaaaeaadaaa,4
daaaeaaaeaadaab,3
daaaeaaaeaadbaa,1
daaaeaaaeaadbab,1
daaaeaaaeaadbad,1
daaaeaaaeaadcac,1
daaaeaaaeabaaca,1
daaaeaaaeababca,1
daaaeaaaeadaaca,2
daaaeaaaeadabcb,1
daaaeaaaeaedaac,1
daaaeaaaebaaaca,1
daaaeaaaebadbaa,1
daaaeaabdaadbaa,2
daaaeaabdaedaca,5
daaaeaabdaedbca,2
daaaeaabdaedbcb,1
daaaeaabdbedbca,2
daaaeaabeaaaaca,7
daaaeaabeaaabca,2
daaaeaabeaadaaa,2
daaaeaabeaadaca,1
daaaeaabeaadbaa,2
daaaeaacdaadaaa,2
daaaeaacdaedaca,1
daaaeaaceaadaaa,1
daaaeaaceaadbba,1
daaaeaadeaaabca,1
daaaeaadeaadaca,1
daaaeabadaedaca,1
daaaeabaeaaaaca,2
daaaeabaeaaabca,2
daaaeabaeaaabcd,1
daaaeabbdaadaaa,1
daaaeabbeaaabca,1
daaaebaadaadaaa,1
daaaebaadaadbaa,1
daaaebaadaedaca,4
daaaebaadaedacb,1
daaaebaadaedbca,10
daaaebaadaedbcb,2
daaaebaaeaaaaca,6
daaaebaaeaaabca,4
daaaebaaeaaabcb,3
daaaebaaeaadaaa,3
daaaebaaeaadaad,1
daaaebaaeaadaca,1
daaaebaaeaadbaa,3
daaaebaaeaadbab,3
daaaebaaeaaddad,1
daaaebaaeaaddbd,1
daaaebaaeababca,1
daaaebaaeaeddcd,1
daaaebaaebaaaca,1
daaaebaaebaabcb,1
daaaebabdaedaca,10
daaaebabdaedacb,1
daaaebabdaedbca,12
daaaebabdaedbcb,4
daaaebabeaaaaca,3
daaaebabeaaaacb,1
daaaebabeaaabca,5
daaaebabeaaaccb,1
daaaebabeaaadca,1
daaaebabeaadaaa,1
daaaebabeaadaba,1
daaaebabeaadbaa,3
daaaebabeaadbab,2
daaaebabeaadbbb,1
daaaebabeabdaaa,1
daaaebabeadabca,1
daaaebabeaddaaa,1
daaaebabeaedaca,1
daaaebabeaedbcb,1
daaaebabebabaca,1
daaaebacdaedaca,1
daaaebacdaedbca,1
daaaebaceaaabca,1
daaaebaceaadbaa,1
daaaebaddbedaca,1
daaaebadeaadaaa,1
daaaebadeaadaab,1
daaaebadeaadaba,1
daaaebbadaedaca,2
daaaebbadaedbca,1
daaaebbadaedbcb,1
daaaebbaeaaaaca,1
daaaebbaeaaabcb,1
daaaebbbdaadaaa,1
daaaebbbdaedaca,2
daaaebbbeaaaaca,1
daaaebbddaadaaa,1
daaaedaaeaaaaca,2
daaaedaaeaaabca,1
daaaedabeaadbaa,1
daaaedbaeaaaaca,1
daabaaaabaeabaa,1
daabaaaadacdbad,1
daabaaaaeaaaaaa,2
daabaaaaeaaaaab,1
daabaaaaeaaaaad,3
daabaaaaeaaaaca,5
daabaaaaeaaaacb,2
daabaaaaeaaaacd,6
daabaaaaeaaabab,1
daabaaaaeaaabad,1
daabaaaaeaaabca,2
daabaaaaeaaabcd,1
daabaaaaeaaadcd,1
daabaaaaeaadaaa,5
daabaaaaeaadbaa,2
daabaaaaeaadbab,1
daabaaaaeadaaad,1
daabaaaaeadaaca,1
daabaaaaeadadcd,1
daabaaaaeaeaaad,1
daabaaaaeaeaaca,2
daabaaaaeaeabca,1
daabaaaaebeaaca,1
daabaaabdaeaaaa,1
daabaaabdaeacaa,1
daabaaabdaedacb,1
daabaaabdbedaca,1
daabaaabeaaaaca,1
daabaaabeaaaacd,1
daabaaabeaaabca,4
daabaaabeaaabcd,1
daabaaabeaadaaa,5
daabaaabeaadaad,2
daabaaabeaadbaa,1
daabaaabeaadbab,2
daabaaabeaadbad,1
daabaaabeacdbaa,1
daabaaabebaabcb,1
daabaaaceaaabad,1
daabaaaceaadaaa,1
daabaaadcaadaca,1
daabaaaddaaaaca,1
daabaaaddaadaaa,1
daabaaaddbedbca,1
daabaaadeaaabcd,1
daabaabaaaeaaaa,1
daabaabadaadbad,1
daabaabadaedaaa,1
daabaabadaedaab,1
daabaabaeaaaaaa,2
daabaabaeaaaaca,2
daabaabaeaaaacb,1
daabaabaeaaabab,1
daabaabaeaaabad,1
daabaabaeaaabcd,3
daabaabaeaadaaa,1
daabaabaeaadaca,1
daabaabaeaadbaa,1
daabaabaeacabaa,1
daabaabaeaeaaad,2
daabaabaeaeaaca,2
daabaabaeaeabcb,1
daabaabbbaddaaa,1
daabaabbdaedbca,1
daabaabbeaaaaca,1
daabaabbeabaacb,1
daabaabbeaeaaca,1
daabaabceaadaaa,1
daababaabaadaaa,1
daababaabaadbab,1
daababaabaeaaaa,1
daababaadaedaaa,1
daababaadaedaca,1
daababaadaedbca,2
daababaadbedbca,1
daababaaeaaaaaa,1
daababaaeaaaaab,2
daababaaeaaaaad,2
daababaaeaaaaba,1
daababaaeaaaabd,1
daababaaeaaaaca,7
daababaaeaaaacb,3
daababaaeaaaacd,1
daababaaeaaabaa,2
daababaaeaaabab,1
daababaaeaaabad,3
daababaaeaaabca,5
daababaaeaaabcb,4
daababaaeaaabcd,3
daababaaeaadaaa,3
daababaaeaadaad,2
daababaaeaadbaa,2
daababaaeaadbab,2
daababaaeaadbad,3
daababaaeaadbcb,1
daababaaeaadcab,1
daababaaeaaddad,1
daababaaeababaa,1
daababaaeacaaca,1
daababaaeacaacb,1
daababaaeaddbcd,1
daababaaeaeaaad,1
daababaaeaeabaa,1
daababaaeaeabad,1
daababaaeaeabca,1
daababaaebaaaca,1
daabababcaeaaaa,1
daabababdaeaaaa,1
daabababdaedbcb,2
daabababeaaaaad,6
daabababeaaaaca,4
daabababeaaabab,1
daabababeaaabad,2
daabababeaaabca,2
daabababeaaabcb,4
daabababeaadaba,1
daabababeaadbaa,1
daabababeaadbab,2
daabababeaadbad,3
daabababeaadbba,2
daabababeaadbbb,1
daabababeaadbbd,1
daabababeaadbcd,1
daabababeaadcab,1
daabababeababaa,1
daabababeabdaaa,1
daabababeaddaaa,1
daabababeaeabaa,1
daabababebaaacd,1
daabababebaabca,1
daababaceaaaaca,1
daababaceaaaacd,1
