string,anomaly,result
aabaabaa,0,0
aaaaaaaa,0,0
aabcabac,0,0
cabacbaa,0,0
abbcbaac,0,0
abbabbaa,0,0
aabcbbac,0,0
abaaabaa,0,0
acaabaaa,0,0
aaaaabaa,0,0
aabcbbac,0,0
eaacdbce,2,1
dbacbcbc,0,0
bbbcabac,0,0
cabaeaab,0,0
babadaaa,0,0
babcdcac,0,0
aabcbbac,0,0
aabcdbac,0,0
aababbaa,0,0
abbaacaa,0,0
cababbaa,0,0
aaaadbaa,0,0
ebbaabcc,2,1
baaaabaa,0,0
ebbcbbce,2,1
eabacbce,1,1
ebaaabcd,1,1
aaaaaaaa,0,0
dcbabdcb,0,0
ddbaeccc,0,1
eabcabce,1,1
cabacbaa,0,0
aabaaaaa,0,0
baacdaac,0,0
bacbabaa,0,0
babcaaac,0,0
dabccbce,2,1
aabcbaac,0,0
babcbcbc,0,0
aabcaaac,0,0
daacabce,2,1
aabaabaa,0,0
eaaabbcc,2,1
aababbaa,0,0
aaaabbaa,0,0
eabcabce,2,1
babaabaa,0,0
aababaaa,0,0
babacaaa,0,0
aababbaa,0,0
dababbcc,2,1
aacaabaa,0,0
aabaabaa,0,0
aaaabbaa,0,0
aabcaaac,0,0
acbcccbc,0,0
eaacacce,2,1
dababacc,2,1
caaaabba,0,0
abaaaaaa,0,0
aaacbbac,0,0
aababaaa,0,0
aabacbaa,0,0
abaabbaa,0,0
aabcaabc,0,0
cbaccbac,0,0
edaabbce,1,1
aabcabac,0,0
dbbcabac,0,0
bbbcacbc,0,0
ebbbacce,1,1
ddbcbcbc,0,0
eaaabace,1,1
aabaabaa,0,0
babcdaac,0,0
aabaacba,0,0
ebbcabce,1,1
aaaaabaa,0,0
aaccbbac,0,0
aabcabac,0,0
edacabce,2,1
aaaabbaa,0,0
abbaabaa,0,0
caacabac,0,0
baccabac,0,0
ecbcbcce,2,1
aabcaaac,0,0
baaacaaa,0,0
abbabcba,0,0
ecbaddce,1,1
dbbabbcc,2,1
ebbabbcc,2,1
dbaaadaa,0,0
cababbaa,0,0
aabcbbbc,0,0
ebaabbce,1,1
babccbac,0,0
babaabaa,0,0
dabaaacc,2,1
aaacabac,0,0
abacacbc,0,0
dabaabcc,2,1
aabcbbac,0,0
caaacdbb,0,0
bdcccbbc,0,0
eaaaabcc,2,1
eaacbbce,1,1
baaabbaa,0,0
bababaaa,0,0
eaacabce,1,1
aabacbba,0,0
aabaaaaa,0,0
baacbabc,0,0
cbcabcba,0,0
aaaaacaa,0,0
ddcbddbc,0,1
aaacabac,0,0
abacaaac,0,0
aabaabaa,0,0
daacabac,0,0
aababbaa,0,0
ecbaacce,1,1
aabcbbbc,0,0
eabcabce,1,1
aabcbbac,0,0
aababaaa,0,0
cbbcbbac,0,0
aaaaabaa,0,0
daaacbaa,0,0
eabcabce,2,1
aabcaaac,0,0
babccbac,0,0
aababbaa,0,0
dabcbbac,0,0
eaacaace,1,1
aaaaabaa,0,0
aabaaaaa,0,0
abbabcaa,0,0
aaacacac,0,0
bacadbab,0,0
aabbabaa,0,0
ebacabce,1,1
eaaaabce,1,1
aabcbaac,0,0
adbcaaac,0,0
dacbcbaa,0,0
aababbaa,0,0
aabaabba,0,0
aabcbbac,0,0
acaaabaa,0,0
aabaaaaa,0,0
cabcdaac,0,0
abaaabaa,0,0
babacbbb,0,0
dabacbcc,2,1
abacbbac,0,0
bbbcbbbc,0,0
ebcbcbce,1,1
baacbbac,0,0
baaaaaaa,0,0
aababbaa,0,0
bababbaa,0,0
cacbcdbb,0,0
aaacaaac,0,0
abacabac,0,0
bcaacbaa,0,0
dbbacbab,0,0
ccaaacaa,0,0
eaacaace,2,1
ebbaaace,1,1
bbbcbcbc,0,0
aabcacac,0,0
aababbaa,0,0
aababbaa,0,0
ddbcecbd,0,0
aababbaa,0,0
bcacbaac,0,0
aaaabbaa,0,0
aaabbaaa,0,0
bbbabaaa,0,0
aaacbaac,0,0
aabcdbac,0,0
abbcaaac,0,0
abbcabac,0,0
cbbaccab,0,0
eaccbcce,2,0
daaaaacc,2,1
eabacace,1,1
eabaabcc,2,1
aaacabbc,0,0
daacabce,2,1
cabcbcbc,0,0
eabcaace,1,1
aabaaaaa,0,0
bbaabaaa,0,0
aaacabac,0,0
aababbaa,0,0
eacccbce,2,1
abbcacac,0,0
abbaabaa,0,0
aabcabac,0,0
abaaaaaa,0,0
dcbbdbab,0,0
dababbcc,2,1
aabacbaa,0,0
aaaabbaa,0,0
eabacace,1,1
eabcbbce,1,1
eaaabbcd,1,1
ebbcaace,1,1
aabaabaa,0,0
aaacabac,0,0
aabaabaa,0,0
aaacbaac,0,0
aababbaa,0,0
aaaaabaa,0,0
aaccbcac,0,0
eababbcd,1,1
baaacbaa,0,0
aabcbbac,0,0
dabaaacc,2,1
baccbbac,0,0
aabaabaa,0,0
daacbbac,0,0
aaccbbac,0,0
bbbabcaa,0,0
eabaabcd,1,1
abacabac,0,0
aabaabaa,0,0
babbabaa,0,0
abbaabaa,0,0
dbacbbce,2,1
daacaace,2,1
aabbcbab,0,0
dababbcc,2,1
dccbdbab,0,0
aaacbbac,0,0
aababbaa,0,0
abacacac,0,0
aaaaacaa,0,0
abbcaaac,0,0
dbbcabce,2,1
aaaacbaa,0,0
eabcaace,1,1
ebbcacce,2,1
aabcbbac,0,0
dabaabcc,2,1
dabcbbac,0,0
abbcdbac,0,0
aaacbcac,0,0
aabccaac,0,0
aacccbac,0,0
bbacaaac,0,0
aabcbaac,0,0
baaccbac,0,0
aaacbaac,0,0
aaaabbaa,0,0
bbbcaabc,0,0
baaaabaa,0,0
ebbcbbce,1,1
aabcbbac,0,0
aabaabaa,0,0
ccbacbbb,0,0
aaaabbaa,0,0
aaacbbac,0,0
aabcbaac,0,0
aabcbbac,0,0
aabaabaa,0,0
aabaacaa,0,0
dcccdcbd,0,0
aabaabaa,0,0
eaaaaacc,2,1
aabcbbac,0,0
acbcabbc,0,0
aabcabac,0,0
aabaaaaa,0,0
aabccbac,0,0
dbbcdbac,0,0
cbbbcbab,0,0
aaaabaaa,0,0
aaaabaaa,0,0
eaaabace,1,1
aaacaaac,0,0
baaacbaa,0,0
aabcabac,0,0
aaacabac,0,0
dabaabcc,2,1
eabcaace,1,1
aaaabbaa,0,0
aabcabac,0,0
aaaaabaa,0,0
acaacbba,0,0
aaacabbc,0,0
baacbbac,0,0
cabcbbac,0,0
aabcabac,0,0
aacaabba,0,0
aaacaaac,0,0
eaaaabcd,1,1
eaaabbcc,2,1
aabccbac,0,0
ababbaaa,0,0
aabcabac,0,0
aabcabac,0,0
aabaabca,0,0
baccabcc,0,0
abaacbaa,0,0
aabcaaac,0,0
abaaabba,0,0
aabbbbba,0,0
acbaabaa,0,0
ebacbbce,1,1
babcaabc,0,0
bbacaaac,0,0
acbcbbac,0,0
aaaabaaa,0,0
aaaaaaaa,0,0
aabcabac,0,0
eabcbace,1,1
aaaacbaa,0,0
bbbccbac,0,0
eabccbce,1,1
caacdbac,0,0
aabaaaaa,0,0
baaaabba,0,0
eabacbce,1,1
aaaaabaa,0,0
aaacabac,0,0
bbbabcaa,0,0
aaaaaaaa,0,0
aaccbaac,0,0
aabaabaa,0,0
aabcbbac,0,0
aaacabac,0,0
aabadbab,0,0
aabaabba,0,0
eaacbace,1,1
aaaaabaa,0,0
baaacbaa,0,0
aaacabac,0,0
aaacaaac,0,0
aabcabac,0,0
aacbbbaa,0,0
ecbcbdce,2,1
caacbbac,0,0
bbaabbba,0,0
aabaabaa,0,0
abbabbaa,0,0
cbbccbac,0,0
aaaaaaaa,0,0
ccbcdbac,0,0
aabcbbac,0,0
abbcabbc,0,0
aababbaa,0,0
aabcabac,0,0
eaaacbce,1,1
abacabac,0,0
cbbccbbc,0,0
eaacbbce,2,1
aaaaacaa,0,0
aaacbbac,0,0
baacbbac,0,0
ebbccbce,2,1
bbcccbac,0,0
babaabaa,0,0
baacabac,0,0
abacacbc,0,0
adbaaaaa,0,0
eabaabcc,2,1
aaacbbac,0,0
babcaaac,0,0
bbbbcaaa,0,0
aabcabbc,0,0
aabacbaa,0,0
cababbaa,0,0
babcbbac,0,0
ebbabdce,1,1
babcbabc,0,0
abaccaac,0,0
bbccccac,0,0
aabcbaac,0,0
daacabac,0,0
ccaaaaaa,0,0
baaaabaa,0,0
abcaaaaa,0,0
eabcabce,1,1
ccbaabba,0,0
aabaaaaa,0,0
