string,anomaly,result
aabbcbaa,0,0
eababbce,1,1
aabaabaa,0,0
aabcabac,0,0
babababa,0,0
aababbaa,0,0
eaaaabcc,2,1
aaacabac,0,0
aabbbbaa,0,0
abbcabac,0,0
aaacbaac,0,0
baaaaaaa,0,0
aaaabbaa,0,0
aaacaaac,0,0
abbaaaaa,0,0
aaaaaaaa,0,0
aaacbaac,0,0
baccbaac,0,0
abbcabac,0,0
dabacaaa,0,0
aabacbaa,0,0
aaaabbaa,0,0
aabcbaac,0,0
abbcbaac,0,0
aabaabaa,0,0
aaaaabba,0,0
aacbacaa,0,0
ebcbabce,1,1
eabcbbce,2,1
eabcdbce,2,1
babacaaa,0,0
aabcaabc,0,0
aaacabac,0,0
aabcbbac,0,0
aabaabaa,0,0
eabaabcc,2,1
babacbaa,0,0
aabccaac,0,0
dabbcbcb,0,0
aabbaaaa,0,0
aabaaaaa,0,0
bbacbbac,0,0
aaaacbaa,0,0
ebaabbcc,2,1
aababbaa,0,0
aaacaaac,0,0
aaccabac,0,0
aaaacaaa,0,0
bdbcbcac,0,0
aaacdaac,0,0
aabaaaaa,0,0
abbaacba,0,0
bbbccbac,0,0
dabcabce,2,1
aaacaaac,0,0
bbacbbac,0,0
eabcabce,1,1
aaacaaac,0,0
ebaaabce,1,1
eabcbbce,2,1
aabccaac,0,0
babaaaba,0,0
ebbcabce,2,1
eabcbace,1,1
cbcccbac,0,0
aabaaaba,0,0
bbacdaac,0,0
dbbabbaa,0,0
dbbadbbb,0,0
ebacbbce,1,1
eacacbce,1,1
aaaacbaa,0,0
acacbbac,0,0
aabcaaac,0,0
aabcbbac,0,0
cbbbbccb,0,0
aaacaaac,0,0
abbcdbbc,0,0
baacabac,0,0
dcbcbbbc,0,0
aabcabac,0,0
ecacdcce,2,1
abbabaaa,0,0
bbbabbaa,0,0
aabaabba,0,0
cbbcbbac,0,0
babcabac,0,0
aaaaabba,0,0
dcbbcbbb,0,0
eabccbce,2,1
bbbaabaa,0,0
dcbabcab,0,0
aaacbbac,0,0
bbaabbab,0,0
aaaaabaa,0,0
babaabba,0,0
aabcbcac,0,0
aababbaa,0,0
dcbccbbc,0,0
ebbacbce,1,1
aabaaaba,0,0
aababbaa,0,0
aabcbbac,0,0
eaaabacc,2,1
adccabac,0,0
aaacabac,0,0
babcbbac,0,0
aabbbaaa,0,0
baaaabba,0,0
eaacabce,1,1
aabaabaa,0,0
bbcabbaa,0,0
ebbaaace,1,1
babaacba,0,0
dabadbaa,0,0
babaabba,0,0
abbaacaa,0,0
ecbcabce,1,1
eabbabcc,2,1
aabcabac,0,0
aabbbbaa,0,0
aaacabbc,0,0
bbbbdbab,0,0
dbbabbcc,2,1
aaaaabaa,0,0
bbcacbaa,0,0
aaaacbaa,0,0
eabcabce,1,1
eabcbbce,1,1
aabccbac,0,0
aabaacaa,0,0
aaaabaaa,0,0
aaccaaac,0,0
aaaaabaa,0,0
aaaabaaa,0,0
bababbaa,0,0
abacabac,0,0
aaacaaac,0,0
daababcc,2,1
ddbcbbac,0,0
babcbaac,0,0
aababbca,0,0
aaaabbaa,0,0
ebbacbce,1,1
aababbaa,0,0
aababcaa,0,0
bbacbbac,0,0
abbcbabc,0,0
cbbccbac,0,0
aabcbbac,0,0
aaacabac,0,0
babcabac,0,0
aabbaaaa,0,0
eaaaabcc,2,1
aabacaaa,0,0
ddaccdcd,0,0
abbaabaa,0,0
aaaaabaa,0,0
baaabbaa,0,0
dcbaccbb,0,0
ebaabace,1,2
aabcbbac,0,0
aabcbbac,0,0
ebacabce,1,1
edbabbce,1,1
abbabbaa,0,0
ebbccbce,2,1
aaaabaaa,0,0
aaacabac,0,0
babcbbac,0,0
aaaaaaaa,0,0
aaacabac,0,0
bbacabac,0,0
aababbaa,0,0
ebbacbcc,2,1
eabcabce,1,1
ebacbbce,1,1
aabcabac,0,0
aabcabac,0,0
aacccbac,0,0
cabaabaa,0,0
aaccbbac,0,0
aababbab,0,0
aabaabaa,0,0
aabacbaa,0,0
ddcbddbc,0,1
daaaabcc,2,1
eaaabccc,2,1
ebbcdbce,1,1
aaaaabaa,0,0
eababbcc,2,1
aabcbbac,0,0
baacabbc,0,0
cbcbbcaa,0,0
cabacbba,0,0
aabcbaac,0,0
eaaaabcc,2,1
cbbcbbac,0,0
aabbabaa,0,0
dcbaccab,0,0
aabcabac,0,0
bababbbb,0,0
aacbaaaa,0,0
daaabbcc,2,1
dcaacdbb,0,0
aabbabba,0,0
aaaaaaaa,0,0
baaaabaa,0,0
ebabcccc,2,2
aaaaabaa,0,0
dababbba,0,0
eaccccce,2,1
baababaa,0,0
aaaacbab,0,0
abacabac,0,0
cbbcbbac,0,0
daacabce,2,1
ebaabbcc,2,1
aaacabac,0,0
babcabbc,0,0
aaaabbaa,0,0
abbabbaa,0,0
abbcabac,0,0
aaacbbac,0,0
aabcbaac,0,0
aabcaaac,0,0
eabcbbce,2,1
abbcabac,0,0
daaaabcc,2,1
bababaaa,0,0
babcbbac,0,0
aababbaa,0,0
cbbcdcbc,0,0
aaacabac,0,0
caaaacaa,0,0
aabcbaac,0,0
aaacbdac,0,0
baaabaaa,0,0
dcaacbbb,0,0
aabaabaa,0,0
bababbaa,0,0
aabaabaa,0,0
daacaace,2,1
aaaabaaa,0,0
daaaabcc,2,1
ebbabacd,1,1
ccbcdcbc,0,0
eabaabcc,2,1
aaaabbaa,0,0
baaacbca,0,0
cbbaccaa,0,0
aababbaa,0,0
abbaabaa,0,0
caaabbaa,0,0
babcbcbc,0,0
aabaabaa,0,0
cabccbac,0,0
eabcabce,2,1
dbbacbbb,0,0
bcaaabba,0,0
baaaabaa,0,0
aabaabaa,0,0
abacabbc,0,0
aabaabaa,0,0
eabbcace,1,1
ebbccbce,2,1
eaaaabcd,1,1
daacabce,2,1
eabacbce,1,1
bbbcbbbc,0,0
bcacabac,0,0
aabaabaa,0,0
aaacbbac,0,0
bbbcabac,0,0
aabcbbac,0,0
aababaaa,0,0
ebbcbace,2,1
bbaabbba,0,0
eabcabce,2,1
acaaabaa,0,0
aaacabac,0,0
aaacabac,0,0
abbcbbac,0,0
cbbcbbcc,0,0
aaacaabc,0,0
daabcbcc,2,1
aacacbaa,0,0
bbacbcac,0,0
bbbaabaa,0,0
aaacabac,0,0
daaaabcc,2,1
aabcbaac,0,0
aaacabac,0,0
daccbbac,0,0
abbcabac,0,0
aaaaabaa,0,0
aaacabac,0,0
ecbabbcc,2,1
eaacbbce,1,1
ebacbbce,2,1
eababbcc,2,1
dabaaacc,2,1
caaaaaaa,0,0
eabcaace,2,1
dabaabcc,2,1
abaaacba,0,0
aaacabac,0,0
aaacbbac,0,0
aabcabac,0,0
cbbcacac,0,0
aabcabac,0,0
cabaaaab,0,0
dcbacbab,0,0
dacbdcab,0,0
bdbabbaa,0,0
eabaacce,1,1
aaaaabba,0,0
baccabcc,0,0
aabcabac,0,0
cbacacac,0,0
bbacbbac,0,0
aaaaabba,0,0
eacaccce,1,1
aacaabaa,0,0
eaacbbce,2,1
aabcaabc,0,0
edbcbbce,2,1
aaacaaac,0,0
aabcbbbc,0,0
aabaabaa,0,0
babacaaa,0,0
aabcbbac,0,0
aabcabac,0,0
aaaabbaa,0,0
ebccbbce,2,1
babcaaac,0,0
aaacabac,0,0
aababaaa,0,0
eaaaaacd,1,1
aabcabcc,0,0
aabbabaa,0,0
aababbaa,0,0
bbbaccab,0,0
baaaaaaa,0,0
babccaac,0,0
abbcbbac,0,0
cabcabac,0,0
aaacbaac,0,0
aababbaa,0,0
aaacbbac,0,0
eabacace,1,1
babcabbc,0,0
baacabac,0,0
cabbbbaa,0,0
cdacbcac,0,0
dcbccbac,0,0
aaaaabaa,0,0
aabcabac,0,0
eaaabccc,2,1
eababbce,1,1
aabbabba,0,0
aaacaaac,0,0
aaacaaac,0,0
eaaabacd,1,1
ddbacccc,0,1
aababbaa,0,0
abaccbac,0,0
aaccbdac,0,0
baacbbac,0,0
abbaaaaa,0,0
eaaaabce,1,1
dabcabce,2,1
cdbccbac,0,0
abbabbba,0,0
aabcbbac,0,0
aababbaa,0,0
abbcabac,0,0
aabccaac,0,0
aabaabaa,0,0
caacabac,0,0
dbacabac,0,0
eabcbace,1,1
bbbaabaa,0,0
bbaabbaa,0,0
dabaaacc,2,1
dabcabcc,0,0
ebbcdcce,1,1
aabccbac,0,0
eabccbce,2,1
baaabcba,0,0
cabcbcac,0,0
abacabac,0,0
aaccbbac,0,0
bacccbac,0,0
daacabce,2,1
edbacbce,1,1
baacbbac,0,0
ebbcdace,1,1
aabccbbc,0,0
cabccbbc,0,0
ccaabcaa,0,0
eaaacbce,1,1
babacbaa,0,0
aabcaaac,0,0
aabcbaac,0,0
ccaaccab,0,0
aabcabac,0,0
aabcabac,0,0
abcbaaaa,0,0
aabcaaac,0,0
cbbccaac,0,0
abbaacba,0,0
aabaabaa,0,0
babcdbac,0,0
eaaabace,1,1
baacaaac,0,0
aabaabaa,0,0
aabcacac,0,0
abbcbbbc,0,0
aababaaa,0,0
aabcabbc,0,0
aabcbbac,0,0
aababbaa,0,0
dabaaccc,2,1
aabbabaa,0,0
aaaabbaa,0,0
aaaabaaa,0,0
eabbbacd,1,1
baaaabaa,0,0
aaaaabaa,0,0
babcabac,0,0
aaaabbaa,0,0
abacaaac,0,0
aabcabac,0,0
ebbabcce,1,1
ebbcabce,2,1
caacbbac,0,0
aabcbbac,0,0
cbaabbba,0,0
aabcaaac,0,0
aabcbbac,0,0
ecbacbcc,2,1
aaaaaaaa,0,0
cabcabac,0,0
abaabbaa,0,0
aabaabaa,0,0
aaaabbaa,0,0
ebbcbbce,1,1
eaaaabcd,1,1
aabcbbac,0,0
aabaabaa,0,0
eabcbace,1,1
daaabbaa,0,0
aabcabac,0,0
aaaabaaa,0,0
cabcabbc,0,0
aabcaaac,0,0
eaccabce,1,1
bbbaaaba,0,0
abacbbac,0,0
abcccbbc,0,0
aabcbbac,0,0
dabaabcc,2,1
aabbabaa,0,0
aabcaaac,0,0
aabcbbac,0,0
ecacacce,2,1
bbbcbbac,0,0
aaacabac,0,0
aaacbaac,0,0
bbbcbbac,0,0
aabcbbac,0,0
eaacabce,2,1
aabbbbaa,0,0
ababdbab,0,0
dbbbcaaa,0,0
aababbaa,0,0
aaaabbaa,0,0
aaacbaac,0,0
aabaabaa,0,0
aabaabaa,0,0
aabacbaa,0,0
aabcaaac,0,0
eabccace,1,1
eabccbce,2,1
bbbbcbaa,0,0
aabbacba,0,0
edbbcccc,2,1
caaabbaa,0,0
dcbaacba,0,0
badcaabc,0,0
aabacaab,0,0
aababbaa,0,0
baaaabba,0,0
babbabaa,0,0
dbaaabcc,2,1
aabaabaa,0,0
aacccbac,0,0
ebaaabcd,1,1
aabcabac,0,0
accbbbaa,0,0
abbbabaa,0,0
ecaaccce,1,1
eaacabce,2,1
eaaabbcd,1,1
abbaaaaa,0,0
babcbbac,0,0
aabccaac,0,0
babbabaa,0,0
eaacabce,1,1
aabcabcc,0,0
aaaabaaa,0,0
abccbaac,0,0
cbbcbbac,0,0
bacacbbb,0,0
cabaabaa,0,0
daaaabcc,2,1
dabcacbc,0,0
dcbaddbc,0,0
baacbbac,0,0
ebacabce,1,1
bcbccbbc,0,0
abacabac,0,0
aaaabbaa,0,0
aabcbaac,0,0
eababbcc,2,1
abcabaaa,0,0
abbababa,0,0
ecaadccc,2,1
aabcbaac,0,0
dbbabaaa,0,0
aabcabac,0,0
abbcbbac,0,0
aaacabac,0,0
dcbcbbbc,0,0
dbdcdccd,0,0
cbbcdcac,0,0
edacbace,1,1
aababaaa,0,0
aabaaaaa,0,0
eaacabce,1,1
aaaacbaa,0,0
aabcbbac,0,0
babcbbac,0,0
aabcabac,0,0
aaacabac,0,0
aababbaa,0,0
aabcabac,0,0
aabcbaac,0,0
aababbaa,0,0
aabccbac,0,0
aaaaaaaa,0,0
aabccaac,0,0
eaacbbce,1,1
aababaaa,0,0
eaaaabcd,1,1
bbbaabba,0,0
abacbbcc,0,0
aabacbaa,0,0
aaacbbbc,0,0
abbcaaac,0,0
aabaaaaa,0,0
aabaabaa,0,0
bbbacbbb,0,0
eababbcc,2,1
aaacbbac,0,0
abbababa,0,0
aaaaccaa,0,0
adbcabac,0,0
bbbcabac,0,0
cbbcabbc,0,0
aaaaabaa,0,0
aababbaa,0,0
abbcbbac,0,0
caacabac,0,0
abaabbaa,0,0
eaaaabcd,1,1
babbbaba,0,0
cabacbaa,0,0
daacbbce,2,1
eabcbbce,1,1
eabcbace,1,1
bbbaabaa,0,0
dabaabcc,2,1
ddcccacd,0,0
acaaacba,0,0
aabcdbac,0,0
abbbcbab,0,0
aabaabaa,0,0
ebaaaccc,2,1
abaaaaaa,0,0
aabcabac,0,0
aaacabac,0,0
abbaabba,0,0
cababbba,0,0
eaacbbce,2,1
abbabbaa,0,0
caaaabaa,0,0
aaacabac,0,0
eaacabce,1,1
aabaabaa,0,0
ebbcdbce,1,1
dcccbbac,0,0
babacbaa,0,0
aabcdbac,0,0
daabbbaa,0,0
babcbcac,0,0
aaacabac,0,0
babcbbac,0,0
cbbccaac,0,0
aabcccac,0,0
eabacbce,1,1
caacbdac,0,0
eabcbace,1,1
aabaabaa,0,0
bbaaaaaa,0,0
cacccbac,0,0
aabaabaa,0,0
abaccbbc,0,0
aabcabac,0,0
aabaaaaa,0,0
aaaabbaa,0,0
bbbcbbac,0,0
aabaabaa,0,0
aaacabac,0,0
baacbbac,0,0
bcbcaccc,0,0
cababaaa,0,0
dbbcbcac,0,0
baaacbba,0,0
bbcccbbc,0,0
eaacbace,1,1
aaaaabaa,0,0
cdaccbbc,0,0
baaabbaa,0,0
aaaaabaa,0,0
aabcbbac,0,0
aaacaaac,0,0
aabaaaaa,0,0
aaaaabaa,0,0
dabcbbac,0,0
aabaabaa,0,0
abaaacba,0,0
aabacbaa,0,0
bbbcbaac,0,0
babaabaa,0,0
bbbcabac,0,0
cdbcbbac,0,0
aaaabbaa,0,0
baaaaaaa,0,0
aabccbac,0,0
daaaabcc,2,1
abbbbbba,0,0
aabcabac,0,0
aacbabaa,0,0
eaaaaacc,2,1
aaaabaaa,0,0
aababbba,0,0
abbabbaa,0,0
baacacbc,0,0
abbcacac,0,0
aaacbaac,0,0
aaaaabaa,0,0
bbaaacba,0,0
bbcbbbaa,0,0
abbaabaa,0,0
abbcaaac,0,0
aabcabac,0,0
aabcabac,0,0
eaaabbcc,2,1
eabaabcd,1,1
aaacbabc,0,0
aaacaaac,0,0
eabcabce,2,1
cabacbba,0,0
dacccbac,0,0
aabaabaa,0,0
ecbcacce,1,1
aaaabbba,0,0
bbbabcba,0,0
ccbacbbb,0,0
aabcabac,0,0
aabacbaa,0,0
eccacbcc,2,1
ebbcabce,2,1
aabaabaa,0,0
aaacbbbc,0,0
eababace,1,1
aaacbbac,0,0
dbcbdbbb,0,0
ebaccbce,2,1
bbbbcbaa,0,0
dbbccdac,0,0
ddacbbbc,0,0
aabcaaac,0,0
ebbccbce,2,1
edbcddce,1,1
aaaaacaa,0,0
eabcbace,2,1
cbbacbaa,0,0
aaaaaaaa,0,0
cababbaa,0,0
eabcbbce,1,1
aabcacac,0,0
eabcabce,1,1
aabaaaaa,0,0
aaacaaac,0,0
abbbcaba,0,0
aaacbbac,0,0
eabaabcc,2,1
aabcabac,0,0
aaaabaaa,0,0
dbaacccb,0,0
eabcabac,0,0
aaacabac,0,0
aabbbbaa,0,0
eaaabacd,1,1
aababbaa,0,0
aaacaaac,0,0
aaaaaaaa,0,0
aababbba,0,0
dbccdbbc,0,0
bbbbbcaa,0,0
aabccbac,0,0
babaacaa,0,0
aabaabaa,0,0
aaaabbba,0,0
eaaabbce,1,1
bbacadac,0,0
eabcaace,1,1
aacccbac,0,0
aaacabac,0,0
dabccbac,0,0
dabcaace,2,0
aaaaabaa,0,0
aaacabac,0,0
aabcabac,0,0
aabaabaa,0,0
babcabbc,0,0
aabcbbac,0,0
eaacaace,2,1
aaacbbac,0,0
cbbabcaa,0,0
aaaacbaa,0,0
eabccace,1,1
ebbcbbce,1,1
abbabbaa,0,0
abaabaaa,0,0
aababbaa,0,0
abaabbaa,0,0
aaacabac,0,0
cbaabcba,0,0
dcacdcbd,0,0
eabccbce,2,1
babcabac,0,0
aaaaaaca,0,0
aababbaa,0,0
abbaabaa,0,0
abbcbbac,0,0
dcbaccbb,0,0
daaabbcc,2,1
aabaaaaa,0,0
daaababa,0,0
aabbcbaa,0,0
ebbcbace,1,1
aabaabba,0,0
aabcbaac,0,0
ccbccbbc,0,0
aabcabac,0,0
eabcabce,1,1
eaaacacc,2,1
eabaaacd,1,1
aaacabac,0,0
baacebac,0,0
eaacabce,1,1
daacbbac,0,0
baccbabc,0,0
aaaaabaa,0,0
aaaaabaa,0,0
eabacbce,1,1
eabcbbce,2,1
abbcabac,0,0
ddbadccc,0,1
babcaaac,0,0
eabbbbcc,2,1
aabaabaa,0,0
eaacabce,2,1
aaaabbaa,0,0
babcabac,0,0
eabcaace,1,1
baaaabaa,0,0
bababbba,0,0
ebaaabcc,2,1
baacabac,0,0
ebbacace,1,1
abbcacac,0,0
aabaabaa,0,0
aabcbaac,0,0
eabacccc,2,1
aaaabbaa,0,0
eabaaacc,2,1
aaacbbac,0,0
eaacabce,1,1
aabaabaa,0,0
babccbac,0,0
dabaabcc,2,1
ddaaddbc,0,0
aababaaa,0,0
eabcbbce,1,1
abbabbba,0,0
caaabbaa,0,0
dcbcccac,0,0
aaacbcbc,0,0
babbcbaa,0,0
eaaabace,1,1
aaaaabaa,0,0
abaaabaa,0,0
aacbbbaa,0,0
bbbcacbc,0,0
abacbbbc,0,0
dbaaacaa,0,0
ebbcdcce,1,1
abbcbcac,0,0
daaaabac,0,0
aaacbccc,0,0
dadbbacc,2,0
babcabcc,0,0
baacbbac,0,0
ebbcdbce,1,1
dabaabcc,2,1
babccbac,0,0
dcaacbcb,0,0
abbcabac,0,0
aaaaabaa,0,0
cabcbbac,0,0
ddacbcac,0,0
aaacbbbc,0,0
abaaacaa,0,0
ebbaabce,1,1
aaacabac,0,0
ebbcbbce,1,1
eabaaacc,2,1
eaaaabcc,2,1
aaaabbaa,0,0
ccbcccac,0,0
babaabaa,0,0
ecbcbbce,2,1
eababccc,2,1
abacaabc,0,0
cabaacaa,0,0
aabcabac,0,0
aabcabac,0,0
aabaacaa,0,0
caacabac,0,0
aabaabaa,0,0
cabcbbbc,0,0
aaacabbc,0,0
aaacbbac,0,0
abaccbac,0,0
eabadbce,1,1
abacabbc,0,0
baaabaaa,0,0
aaaadbaa,0,0
dbcbccba,0,0
eabccbce,1,1
eaaacacc,2,1
eabcbbce,1,1
aabcabac,0,0
abbcbbac,0,0
ecbcbbce,2,1
abbcbdac,0,0
eabbbbcc,2,1
babcabbc,0,0
cababbaa,0,0
aabaabba,0,0
aabcabac,0,0
babaabba,0,0
aabaabaa,0,0
babccbac,0,0
aabcabbc,0,0
aabaabaa,0,0
abbaabaa,0,0
eabccbce,2,1
bcbaaaba,0,0
aaaabbaa,0,0
babaaaaa,0,0
bbbccbac,0,0
acbaabaa,0,0
aababbaa,0,0
cbbccbac,0,0
abacaacc,0,0
cbacbbbc,0,0
abbcacac,0,0
aaaaabaa,0,0
abccbbbc,0,0
aabacbaa,0,0
dcbadccb,0,0
cbbcccac,0,0
ecbabbcc,2,1
cbbcdbac,0,0
